prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,85.0,0.000776,0.00017,0.000946
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,26.0,0.000776,5.2000000000000004e-05,0.000828
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,36.0,0.000776,7.2e-05,0.000848
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,18.0,0.000776,3.6e-05,0.000812
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,24.0,0.000776,4.8e-05,0.000824
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,25.0,0.000776,5e-05,0.000826
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,25.0,0.000776,5e-05,0.000826
776.0,25.0,0.000776,5e-05,0.000826
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,25.0,0.000776,5e-05,0.000826
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,18.0,0.000776,3.6e-05,0.000812
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,55.0,0.000776,0.00011,0.000886
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,25.0,0.000776,5e-05,0.000826
776.0,25.0,0.000776,5e-05,0.000826
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,25.0,0.000776,5e-05,0.000826
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,70.0,0.000776,0.00014000000000000001,0.000916
776.0,17.0,0.000776,3.4e-05,0.00081
776.0,17.0,0.000776,3.4e-05,0.00081
