Method,PGI,PGU
gpt-4-0125-preview-0125-preview_pgicl,0.244+/-0.035,0.260+/-0.034
gpt-4-0125-preview-0125-preview_v1,0.300+/-0.038,0.231+/-0.033
gpt-4_pgicl,0.349+/-0.039,0.243+/-0.033
gpt-4_v1,0.300+/-0.036,0.293+/-0.037
la,0.212+/-0.035,0.371+/-0.041
lc,0.170+/-0.030,0.355+/-0.042
ldl,0.301+/-0.038,0.305+/-0.038
lgshap,0.291+/-0.039,0.355+/-0.038
lgxa,0.280+/-0.038,0.331+/-0.042
lig,0.291+/-0.040,0.346+/-0.040
lime1000,0.382+/-0.038,0.239+/-0.033
lime16,0.380+/-0.041,0.258+/-0.033
random,0.271+/-0.029,0.251+/-0.027
